subj,trial,condition,target,respond,error,trial_duration_msec,reproduction_duration_msec,fb,fb_true,fb_offset,fb_time,GoodTrial
03,1,noFB,3.666044,3.568553,-0.09749055,37253.66,25743.4,0,0,0,0,1
03,2,noFB,4.641174,0.1986171,-4.442557,36554.4,24644.6,0,0,0,0,0
03,3,noFB,5.081013,4.313774,-0.7672386,20692,11095.4,0,0,0,0,1
03,4,noFB,5.175032,4.391541,-0.7834902,22824.2,8651.90000000002,0,0,0,0,1
03,5,noFB,2.834396,2.215716,-0.6186795,12154.6,4912,0,0,0,0,1
03,6,noFB,7.374412,7.834355,0.4599428,26621.5,16359.8,0,0,0,0,1
03,7,noFB,3.463201,2.93395,-0.5292511,18414.8,9318.70000000001,0,0,0,0,1
03,8,noFB,6.720531,6.052656,-0.6678753,20124.2000000001,10805.8,0,0,0,0,1
03,9,noFB,7.67284,6.395983,-1.276857,24190,12683.2999999999,0,0,0,0,1
03,10,noFB,3.257591,2.527516,-0.7300746,33252.3999999999,9296.5,0,0,0,0,1
03,11,FB,6.878946,3.558491,-3.320455,21147.6000000001,9740.5,2.4925507,3.439473,-0.9469223,,1
03,12,FB,3.765371,3.518392,-0.2469792,14228.2,6841.5,2.0565944,1.8826855,0.1739089,,1
03,13,FB,3.19034,2.737174,-0.4531665,49567.1,5553.09999999998,1.4766295,1.59517,-0.1185405,,1
03,14,FB,5.022429,5.309993,0.2875643,18948.0000000001,10551.2000000001,2.5112145,2.5112145,-0,,1
03,15,FB,7.009421,5.85945,-1.149971,26521.3,13105.3,4.8734425,3.5047105,1.368732,,1
03,16,FB,4.822725,5.133003,0.3102784,11521.2999999999,6197.79999999993,3.2956571,2.4113625,0.8842946,,1
03,17,FB,2.196278,1.630004,-0.5662739,5964.60000000009,3342.5,0.6281198,1.098139,-0.4700192,,1
03,18,FB,3.940441,4.139689,0.1992488,10886.4,5764.59999999998,2.9553418,1.9702205,0.9851213,,1
03,19,FB,4.270743,4.627406,0.3566623,33463.8,11828.9,1.4428325,2.1353715,-0.692539,,1
03,20,FB,6.523708,6.932263,0.4085546,16737.9,7719,3.6074,3.261854,0.345546,,1
03,21,FB,2.094373,1.405159,-0.6892133,11040,8574,-0.3825785,1.0471865,-1.429765,,1
03,22,FB,3.286134,3.589451,0.3033166,26111,7375,1.643067,1.643067,-0,,1
03,23,FB,2.449708,3.65327,1.203562,16924,5405,2.2076515,1.224854,0.9827975,,1
03,24,FB,7.072895,6.814318,-0.2585769,20642,7071,3.5364475,3.5364475,0,,1
03,25,FB,6.258943,6.753499,0.494556,17303,9240,4.0338808,3.1294715,0.9044093,,1
03,26,FB,3.238729,3.369762,0.1310329,13950,6308,1.6193645,1.6193645,-0,,1
03,27,FB,5.805774,4.851075,-0.9546986,20951,8152,2.2869389,2.902887,-0.6159481,,1
03,28,FB,3.135377,3.84358,0.7082031,19774,7779,2.2339688,1.5676885,0.6662803,,1
03,29,FB,7.782757,6.737939,-1.044818,20585,11422,3.5648733,3.8913785,-0.3265052,,1
03,30,FB,6.32929,6.619215,0.2899246,23387,7854,4.070875,3.164645,0.90623,,1
03,31,FB,5.07281,4.495253,-0.5775571,12429,7508,1.475825,2.536405,-1.06058,,1
03,32,FB,3.183865,2.846843,-0.3370211,8031,3843,1.1173514,1.5919325,-0.4745811,,1
03,33,FB,4.453761,3.787381,-0.6663795,11495,6642,0.8061325,2.2268805,-1.420748,,1
03,34,FB,4.790836,4.033445,-0.7573915,25282,11063,0.93323,2.395418,-1.462188,,1
